filename,img_h,img_w,x,y,w,h,chars,in_table,label,above_1,between,below_2
inv-0000,2339,1653,888,1337,94,23,6,False,misc,False,False,True
inv-0000,2339,1653,1270,1336,190,17,18,False,misc,False,False,True
inv-0000,2339,1653,927,1372,44,11,2,False,misc,False,False,True
inv-0000,2339,1653,109,1400,173,19,14,False,misc,False,False,True
inv-0000,2339,1653,901,1387,69,29,2,False,misc,False,False,True
inv-0000,2339,1653,1249,1391,162,17,12,False,misc,False,False,True
inv-0000,2339,1653,865,1426,103,14,8,False,misc,False,False,True
inv-0000,2339,1653,1271,1420,190,18,18,False,misc,False,False,True
inv-0000,2339,1653,235,2111,108,25,8,False,misc,False,False,True
inv-0000,2339,1653,143,2149,252,20,20,False,misc,False,False,True
inv-0000,2339,1653,239,2186,76,18,6,False,misc,False,False,True
inv-0000,2339,1653,75,2237,231,67,2,False,misc,False,False,True
inv-0000,2339,1653,350,2245,392,62,9,False,misc,False,False,True
inv-0000,2339,1653,800,2268,9,5,1,False,misc,False,False,True
inv-0000,2339,1653,748,2306,18,8,2,False,misc,False,False,True
inv-0001,2339,1653,1193,43,6,15,2,False,misc,True,False,False
inv-0001,2339,1653,792,69,275,191,14,False,misc,True,False,False
inv-0001,2339,1653,1132,76,189,151,11,False,misc,True,False,False
inv-0001,2339,1653,1371,182,133,38,3,False,misc,True,False,False
inv-0001,2339,1653,267,306,1073,21,83,False,misc,True,False,False
inv-0001,2339,1653,269,333,1074,21,79,False,misc,True,False,False
inv-0001,2339,1653,365,360,876,21,70,False,misc,True,False,False
inv-0001,2339,1653,172,638,945,36,39,False,doc_id,False,True,False
inv-0001,2339,1653,170,718,121,21,8,False,info,False,True,False
inv-0001,2339,1653,344,719,1071,23,74,False,info,False,True,False
inv-0001,2339,1653,344,749,748,21,55,False,info,False,True,False
inv-0001,2339,1653,170,791,126,22,10,False,info,False,True,False
inv-0001,2339,1653,344,792,1094,23,73,False,info,False,True,False
inv-0001,2339,1653,345,821,475,22,31,False,info,False,True,False
inv-0001,2339,1653,170,864,1268,24,83,False,info,False,True,False
inv-0001,2339,1653,345,895,475,22,31,False,info,False,True,False
inv-0001,2339,1653,1169,1078,72,17,7,False,total,False,False,True
inv-0001,2339,1653,1335,1077,104,22,8,False,total,False,False,True
inv-0001,2339,1653,1098,1105,143,23,10,False,total,False,False,True
inv-0001,2339,1653,1348,1106,91,21,7,False,total,False,False,True
inv-0001,2339,1653,1061,1134,180,18,14,False,total,False,False,True
inv-0001,2339,1653,1334,1135,105,20,8,False,total,False,False,True
inv-0001,2339,1653,170,1159,516,24,35,False,verif,False,False,True
inv-0001,2339,1653,169,1189,723,23,48,False,verif,False,False,True
inv-0001,2339,1653,613,1245,3,14,1,False,misc,False,False,True
inv-0001,2339,1653,674,1253,7,7,1,False,misc,False,False,True
inv-0001,2339,1653,169,1262,362,46,46,False,misc,False,False,True
inv-0001,2339,1653,583,1263,520,47,50,False,misc,False,False,True
inv-0001,2339,1653,1198,1283,29,16,2,False,misc,False,False,True
inv-0001,2339,1653,1287,1290,146,20,9,False,misc,False,False,True
inv-0001,2339,1653,168,1314,430,19,31,False,misc,False,False,True
inv-0001,2339,1653,1236,1314,4,18,1,False,misc,False,False,True
inv-0001,2339,1653,204,1362,1201,40,51,False,misc,False,False,True
inv-0001,2339,1653,465,1412,676,36,31,False,misc,False,False,True
inv-0001,2339,1653,1400,2252,193,50,19,False,misc,False,False,True
inv-0002,2339,1653,840,77,201,109,8,False,misc,True,False,False
inv-0002,2339,1653,1084,84,226,81,9,False,misc,True,False,False
inv-0002,2339,1653,771,195,103,74,3,False,misc,True,False,False
inv-0002,2339,1653,977,186,59,27,3,False,misc,True,False,False
inv-0002,2339,1653,1105,189,348,72,5,False,misc,True,False,False
inv-0002,2339,1653,268,308,1074,21,81,False,misc,True,False,False
inv-0002,2339,1653,271,335,1074,20,79,False,misc,True,False,False
inv-0002,2339,1653,366,362,877,20,67,False,misc,True,False,False
inv-0002,2339,1653,173,639,946,36,41,False,doc_id,False,True,False
inv-0002,2339,1653,171,719,121,21,8,False,info,False,True,False
inv-0002,2339,1653,345,720,1071,23,72,False,info,False,True,False
inv-0002,2339,1653,345,750,748,22,54,False,info,False,True,False
inv-0002,2339,1653,171,793,126,22,10,False,info,False,True,False
inv-0002,2339,1653,345,793,1094,24,69,False,info,False,True,False
inv-0002,2339,1653,346,823,475,22,31,False,info,False,True,False
inv-0002,2339,1653,171,866,1268,24,81,False,info,False,True,False
inv-0002,2339,1653,346,897,475,21,31,False,info,False,True,False
inv-0002,2339,1653,1170,1077,73,19,7,False,total,False,False,True
inv-0002,2339,1653,1336,1078,104,21,8,False,total,False,False,True
inv-0002,2339,1653,1099,1106,143,22,10,False,total,False,False,True
inv-0002,2339,1653,1349,1106,91,21,7,False,total,False,False,True
inv-0002,2339,1653,1061,1134,182,19,13,False,total,False,False,True
inv-0002,2339,1653,1336,1135,104,21,8,False,total,False,False,True
inv-0002,2339,1653,171,1160,516,24,35,False,verif,False,False,True
inv-0002,2339,1653,170,1190,723,24,43,False,verif,False,False,True
inv-0002,2339,1653,170,1264,362,20,30,False,misc,False,False,True
inv-0002,2339,1653,610,1257,65,20,3,False,misc,False,False,True
inv-0002,2339,1653,819,1265,285,20,23,False,misc,False,False,True
inv-0002,2339,1653,1155,1274,2,4,1,False,misc,False,False,True
inv-0002,2339,1653,1215,1272,42,20,3,False,misc,False,False,True
inv-0002,2339,1653,170,1294,218,16,18,False,misc,False,False,True
inv-0002,2339,1653,573,1292,33,15,2,False,misc,False,False,True
inv-0002,2339,1653,653,1291,386,21,27,False,misc,False,False,True
inv-0002,2339,1653,1288,1291,146,20,10,False,misc,False,False,True
inv-0002,2339,1653,169,1315,452,20,30,False,misc,False,False,True
inv-0002,2339,1653,1096,1330,9,8,1,False,misc,False,False,True
inv-0002,2339,1653,205,1368,1201,35,49,False,misc,False,False,True
inv-0002,2339,1653,466,1414,677,36,31,False,misc,False,False,True
inv-0002,2339,1653,1422,2244,34,5,2,False,misc,False,False,True
inv-0002,2339,1653,1507,2244,33,7,2,False,misc,False,False,True
inv-0002,2339,1653,1468,2267,67,8,3,False,misc,False,False,True
inv-0003,2339,1653,860,67,33,42,1,False,misc,True,False,False
inv-0003,2339,1653,1023,54,15,21,2,False,misc,True,False,False
inv-0003,2339,1653,1117,92,48,17,2,False,misc,True,False,False
inv-0003,2339,1653,755,110,691,157,27,False,misc,True,False,False
inv-0003,2339,1653,270,306,1074,21,82,False,misc,True,False,False
inv-0003,2339,1653,273,332,1074,22,78,False,misc,True,False,False
inv-0003,2339,1653,368,359,876,21,65,False,misc,True,False,False
inv-0003,2339,1653,175,637,946,37,39,False,doc_id,False,True,False
inv-0003,2339,1653,173,717,121,22,8,False,info,False,True,False
inv-0003,2339,1653,347,718,1071,23,72,False,info,False,True,False
inv-0003,2339,1653,347,748,748,22,56,False,info,False,True,False
inv-0003,2339,1653,173,790,127,23,10,False,info,False,True,False
inv-0003,2339,1653,347,791,1094,23,71,False,info,False,True,False
inv-0003,2339,1653,348,821,474,22,33,False,info,False,True,False
inv-0003,2339,1653,173,863,1268,25,83,False,info,False,True,False
inv-0003,2339,1653,348,894,474,22,31,False,info,False,True,False
inv-0003,2339,1653,1171,1077,73,19,6,False,total,False,False,True
inv-0003,2339,1653,1369,1078,72,21,6,False,total,False,False,True
inv-0003,2339,1653,1101,1105,143,22,9,False,total,False,False,True
inv-0003,2339,1653,1383,1106,58,21,5,False,total,False,False,True
inv-0003,2339,1653,1063,1134,180,18,14,False,total,False,False,True
inv-0003,2339,1653,1369,1135,72,21,6,False,total,False,False,True
inv-0003,2339,1653,173,1158,489,24,33,False,verif,False,False,True
inv-0003,2339,1653,173,1188,434,23,26,False,verif,False,False,True
inv-0003,2339,1653,698,1234,3,7,1,False,misc,False,False,True
inv-0003,2339,1653,1216,1237,14,8,1,False,misc,False,False,True
inv-0003,2339,1653,1306,1237,7,12,1,False,misc,False,False,True
inv-0003,2339,1653,629,1251,2,10,1,False,misc,False,False,True
inv-0003,2339,1653,1231,1252,2,4,1,False,misc,False,False,True
inv-0003,2339,1653,171,1261,363,46,46,False,misc,False,False,True
inv-0003,2339,1653,596,1263,509,47,50,False,misc,False,False,True
inv-0003,2339,1653,1205,1270,230,40,13,False,misc,False,False,True
inv-0003,2339,1653,170,1312,471,20,31,False,misc,False,False,True
inv-0003,2339,1653,1234,1313,7,15,1,False,misc,False,False,True
inv-0003,2339,1653,206,1364,1201,37,49,False,misc,False,False,True
inv-0003,2339,1653,468,1411,693,36,33,False,misc,False,False,True
inv-0003,2339,1653,1349,2245,50,16,3,False,misc,False,False,True
inv-0003,2339,1653,1467,2248,78,12,4,False,misc,False,False,True
inv-0003,2339,1653,1328,2261,52,18,4,False,misc,False,False,True
inv-0003,2339,1653,1441,2276,8,7,1,False,misc,False,False,True
inv-0003,2339,1653,1495,2262,48,12,3,False,misc,False,False,True
inv-0004,2339,1653,818,118,54,48,5,False,misc,True,False,False
inv-0004,2339,1653,1091,130,7,18,1,False,misc,True,False,False
inv-0004,2339,1653,1156,123,164,40,6,False,misc,True,False,False
inv-0004,2339,1653,766,165,299,130,11,False,misc,True,False,False
inv-0004,2339,1653,1172,184,46,52,1,False,misc,True,False,False
inv-0004,2339,1653,1270,193,198,43,3,False,misc,True,False,False
inv-0004,2339,1653,262,308,1074,21,84,False,misc,True,False,False
inv-0004,2339,1653,265,335,1074,21,78,False,misc,True,False,False
inv-0004,2339,1653,361,362,876,20,65,False,misc,True,False,False
inv-0004,2339,1653,168,640,945,36,39,False,doc_id,False,True,False
inv-0004,2339,1653,166,720,121,21,8,False,info,False,True,False
inv-0004,2339,1653,340,721,1071,22,75,False,info,False,True,False
inv-0004,2339,1653,340,751,748,21,55,False,info,False,True,False
inv-0004,2339,1653,166,794,127,23,10,False,info,False,True,False
inv-0004,2339,1653,340,794,1095,23,72,False,info,False,True,False
inv-0004,2339,1653,341,824,475,21,32,False,info,False,True,False
inv-0004,2339,1653,166,867,1269,23,80,False,info,False,True,False
inv-0004,2339,1653,341,897,475,22,32,False,info,False,True,False
inv-0004,2339,1653,1165,1079,73,18,7,False,total,False,False,True
inv-0004,2339,1653,1332,1079,103,21,8,False,total,False,False,True
inv-0004,2339,1653,1095,1107,143,21,10,False,total,False,False,True
inv-0004,2339,1653,1344,1107,91,21,7,False,total,False,False,True
inv-0004,2339,1653,1057,1136,181,17,13,False,total,False,False,True
inv-0004,2339,1653,1331,1136,105,20,8,False,total,False,False,True
inv-0004,2339,1653,168,1161,515,23,35,False,verif,False,False,True
inv-0004,2339,1653,166,1191,723,23,46,False,verif,False,False,True
inv-0004,2339,1653,167,1264,361,20,30,False,misc,False,False,True
inv-0004,2339,1653,816,1264,284,20,23,False,misc,False,False,True
inv-0004,2339,1653,1213,1255,70,25,4,False,misc,False,False,True
inv-0004,2339,1653,166,1295,219,16,18,False,misc,False,False,True
inv-0004,2339,1653,601,1283,434,28,29,False,misc,False,False,True
inv-0004,2339,1653,1202,1284,28,14,2,False,misc,False,False,True
inv-0004,2339,1653,1284,1290,146,20,9,False,misc,False,False,True
inv-0004,2339,1653,165,1315,451,21,31,False,misc,False,False,True
inv-0004,2339,1653,1233,1314,4,15,1,False,misc,False,False,True
inv-0004,2339,1653,201,1368,1201,36,48,False,misc,False,False,True
inv-0004,2339,1653,462,1415,675,35,30,False,misc,False,False,True
inv-0004,2339,1653,1347,2248,227,45,25,False,misc,False,False,True
inv-0005,2339,1653,1055,66,75,29,2,False,misc,True,False,False
inv-0005,2339,1653,768,88,638,192,29,False,misc,True,False,False
inv-0005,2339,1653,268,310,1073,20,83,False,misc,True,False,False
inv-0005,2339,1653,271,336,1073,21,80,False,misc,True,False,False
inv-0005,2339,1653,366,363,876,21,66,False,misc,True,False,False
inv-0005,2339,1653,172,640,946,37,39,False,doc_id,False,True,False
inv-0005,2339,1653,170,720,121,22,8,False,info,False,True,False
inv-0005,2339,1653,344,721,1071,24,74,False,info,False,True,False
inv-0005,2339,1653,344,751,748,22,55,False,info,False,True,False
inv-0005,2339,1653,170,794,126,23,10,False,info,False,True,False
inv-0005,2339,1653,344,795,1095,23,72,False,info,False,True,False
inv-0005,2339,1653,345,825,475,22,32,False,info,False,True,False
inv-0005,2339,1653,170,867,1269,25,81,False,info,False,True,False
inv-0005,2339,1653,345,898,475,22,32,False,info,False,True,False
inv-0005,2339,1653,1169,1080,72,18,6,False,total,False,False,True
inv-0005,2339,1653,1334,1080,105,21,8,False,total,False,False,True
inv-0005,2339,1653,1098,1108,143,21,10,False,total,False,False,True
inv-0005,2339,1653,1348,1108,91,21,7,False,total,False,False,True
inv-0005,2339,1653,1061,1136,181,19,13,False,total,False,False,True
inv-0005,2339,1653,1334,1137,105,21,8,False,total,False,False,True
inv-0005,2339,1653,170,1160,516,25,35,False,verif,False,False,True
inv-0005,2339,1653,169,1191,723,24,48,False,verif,False,False,True
inv-0005,2339,1653,170,1265,361,20,29,False,misc,False,False,True
inv-0005,2339,1653,819,1267,284,20,21,False,misc,False,False,True
inv-0005,2339,1653,1232,1250,7,17,1,False,misc,False,False,True
inv-0005,2339,1653,1304,1248,9,11,1,False,misc,False,False,True
inv-0005,2339,1653,169,1296,219,15,17,False,misc,False,False,True
inv-0005,2339,1653,574,1288,34,19,2,False,misc,False,False,True
inv-0005,2339,1653,652,1292,386,22,28,False,misc,False,False,True
inv-0005,2339,1653,1193,1289,43,17,1,False,misc,False,False,True
inv-0005,2339,1653,1287,1293,146,21,9,False,misc,False,False,True
inv-0005,2339,1653,168,1316,442,21,32,False,misc,False,False,True
inv-0005,2339,1653,1212,1317,42,17,2,False,misc,False,False,True
inv-0005,2339,1653,204,1368,1200,40,45,False,misc,False,False,True
inv-0005,2339,1653,465,1415,675,36,30,False,misc,False,False,True
inv-0005,2339,1653,1371,2235,192,22,7,False,misc,False,False,True
inv-0005,2339,1653,1398,2256,3,5,1,False,misc,False,False,True
inv-0005,2339,1653,1547,2258,3,4,1,False,misc,False,False,True
inv-0005,2339,1653,1354,2264,13,8,1,False,misc,False,False,True
inv-0005,2339,1653,1434,2262,121,15,5,False,misc,False,False,True
inv-0006,2339,1653,756,75,574,203,29,False,misc,True,False,False
inv-0006,2339,1653,1383,198,95,45,2,False,misc,True,False,False
inv-0006,2339,1653,270,306,1073,21,84,False,misc,True,False,False
inv-0006,2339,1653,273,333,1073,22,77,False,misc,True,False,False
inv-0006,2339,1653,368,360,876,21,70,False,misc,True,False,False
inv-0006,2339,1653,175,637,945,36,40,False,doc_id,False,True,False
inv-0006,2339,1653,173,717,121,21,8,False,info,False,True,False
inv-0006,2339,1653,346,717,1071,24,72,False,info,False,True,False
inv-0006,2339,1653,347,747,748,23,53,False,info,False,True,False
inv-0006,2339,1653,173,790,126,23,10,False,info,False,True,False
inv-0006,2339,1653,347,791,1094,24,74,False,info,False,True,False
inv-0006,2339,1653,348,821,474,22,31,False,info,False,True,False
inv-0006,2339,1653,173,863,1268,25,83,False,info,False,True,False
inv-0006,2339,1653,348,895,474,22,30,False,info,False,True,False
inv-0006,2339,1653,1170,1077,73,18,7,False,total,False,False,True
inv-0006,2339,1653,1336,1077,104,21,8,False,total,False,False,True
inv-0006,2339,1653,1100,1105,143,21,10,False,total,False,False,True
inv-0006,2339,1653,1349,1106,91,21,7,False,total,False,False,True
inv-0006,2339,1653,1062,1133,181,19,14,False,total,False,False,True
inv-0006,2339,1653,1336,1134,104,21,8,False,total,False,False,True
inv-0006,2339,1653,173,1157,514,25,35,False,verif,False,False,True
inv-0006,2339,1653,171,1188,723,24,45,False,verif,False,False,True
inv-0006,2339,1653,607,1239,16,7,1,False,misc,False,False,True
inv-0006,2339,1653,1213,1242,12,6,1,False,misc,False,False,True
inv-0006,2339,1653,171,1261,362,47,47,False,misc,False,False,True
inv-0006,2339,1653,591,1260,647,50,55,False,misc,False,False,True
inv-0006,2339,1653,1287,1290,148,20,10,False,misc,False,False,True
inv-0006,2339,1653,170,1314,430,19,29,False,misc,False,False,True
inv-0006,2339,1653,1094,1315,19,20,2,False,misc,False,False,True
inv-0006,2339,1653,1157,1338,15,7,2,False,misc,False,False,True
inv-0006,2339,1653,206,1365,1201,37,49,False,misc,False,False,True
inv-0006,2339,1653,468,1412,674,36,31,False,misc,False,False,True
inv-0006,2339,1653,1407,2243,203,42,13,False,misc,False,False,True
inv-0007,2339,1653,964,112,43,25,2,False,misc,True,False,False
inv-0007,2339,1653,758,253,22,34,1,False,misc,True,False,False
inv-0007,2339,1653,828,127,11,23,1,False,misc,True,False,False
inv-0007,2339,1653,902,127,78,75,3,False,misc,True,False,False
inv-0007,2339,1653,1041,191,33,25,1,False,misc,True,False,False
inv-0007,2339,1653,1154,138,220,137,4,False,misc,True,False,False
inv-0007,2339,1653,1248,146,206,110,7,False,misc,True,False,False
inv-0007,2339,1653,280,303,1074,26,82,False,misc,True,False,False
inv-0007,2339,1653,283,330,1073,28,77,False,misc,True,False,False
inv-0007,2339,1653,378,359,876,24,67,False,misc,True,False,False
inv-0007,2339,1653,182,633,946,41,39,False,doc_id,False,True,False
inv-0007,2339,1653,180,713,121,22,8,False,info,False,True,False
inv-0007,2339,1653,354,715,1071,30,71,False,info,False,True,False
inv-0007,2339,1653,354,745,748,27,54,False,info,False,True,False
inv-0007,2339,1653,180,786,126,24,10,False,info,False,True,False
inv-0007,2339,1653,354,789,1094,30,72,False,info,False,True,False
inv-0007,2339,1653,354,819,475,24,32,False,info,False,True,False
inv-0007,2339,1653,179,860,1268,32,83,False,info,False,True,False
inv-0007,2339,1653,354,893,475,24,32,False,info,False,True,False
inv-0007,2339,1653,1176,1080,73,18,7,False,total,False,False,True
inv-0007,2339,1653,1342,1081,104,21,8,False,total,False,False,True
inv-0007,2339,1653,1106,1107,143,22,10,False,total,False,False,True
inv-0007,2339,1653,1355,1109,91,19,7,False,total,False,False,True
inv-0007,2339,1653,177,1154,516,28,34,False,verif,False,False,True
inv-0007,2339,1653,1067,1135,181,19,14,False,total,False,False,True
inv-0007,2339,1653,1342,1137,104,22,8,False,total,False,False,True
inv-0007,2339,1653,176,1184,723,28,49,False,verif,False,False,True
inv-0007,2339,1653,174,1258,935,72,127,False,misc,False,False,True
inv-0007,2339,1653,1185,1239,254,75,16,False,misc,False,False,True
inv-0007,2339,1653,209,1362,1202,41,49,False,misc,False,False,True
inv-0007,2339,1653,471,1414,674,34,31,False,misc,False,False,True
inv-0007,2339,1653,1239,1443,7,4,1,False,misc,False,False,True
inv-0007,2339,1653,1552,2282,39,7,2,False,misc,False,False,True
inv-0007,2339,1653,1455,2293,48,7,2,False,misc,False,False,True
inv-0007,2339,1653,1604,2296,3,7,1,False,misc,False,False,True
inv-0007,2339,1653,557,1313,81,18,5,False,misc,False,False,True
inv-0008,2339,1653,773,83,684,194,31,False,misc,True,False,False
inv-0008,2339,1653,268,307,1074,20,81,False,misc,True,False,False
inv-0008,2339,1653,271,334,1074,21,80,False,misc,True,False,False
inv-0008,2339,1653,366,361,876,21,66,False,misc,True,False,False
inv-0008,2339,1653,172,638,946,36,41,False,doc_id,False,True,False
inv-0008,2339,1653,170,718,121,21,8,False,info,False,True,False
inv-0008,2339,1653,344,718,1071,24,74,False,info,False,True,False
inv-0008,2339,1653,345,748,748,23,54,False,info,False,True,False
inv-0008,2339,1653,170,790,127,23,10,False,info,False,True,False
inv-0008,2339,1653,345,791,1094,24,72,False,info,False,True,False
inv-0008,2339,1653,345,822,475,22,30,False,info,False,True,False
inv-0008,2339,1653,170,864,1269,25,81,False,info,False,True,False
inv-0008,2339,1653,345,895,475,22,31,False,info,False,True,False
inv-0008,2339,1653,1169,1078,73,18,7,False,total,False,False,True
inv-0008,2339,1653,1335,1078,104,21,8,False,total,False,False,True
inv-0008,2339,1653,1098,1105,143,23,10,False,total,False,False,True
inv-0008,2339,1653,1348,1106,91,22,7,False,total,False,False,True
inv-0008,2339,1653,1061,1134,180,18,13,False,total,False,False,True
inv-0008,2339,1653,1334,1135,105,21,8,False,total,False,False,True
inv-0008,2339,1653,171,1158,515,25,35,False,verif,False,False,True
inv-0008,2339,1653,169,1188,723,24,47,False,verif,False,False,True
inv-0008,2339,1653,169,1261,437,47,48,False,misc,False,False,True
inv-0008,2339,1653,652,1255,451,55,52,False,misc,False,False,True
inv-0008,2339,1653,1186,1263,247,47,14,False,misc,False,False,True
inv-0008,2339,1653,168,1313,460,20,31,False,misc,False,False,True
inv-0008,2339,1653,1199,1314,20,25,1,False,misc,False,False,True
inv-0008,2339,1653,203,1361,1202,44,50,False,misc,False,False,True
inv-0008,2339,1653,465,1412,729,37,32,False,misc,False,False,True
inv-0008,2339,1653,1288,1426,5,3,1,False,misc,False,False,True
inv-0008,2339,1653,1366,2254,221,46,19,False,misc,False,False,True
inv-0009,2339,1653,736,59,334,214,13,False,misc,True,False,False
inv-0009,2339,1653,1137,74,226,177,12,False,misc,True,False,False
inv-0009,2339,1653,1317,119,130,130,4,False,misc,True,False,False
inv-0009,2339,1653,266,307,1073,22,81,False,misc,True,False,False
inv-0009,2339,1653,269,333,1073,24,78,False,misc,True,False,False
inv-0009,2339,1653,364,361,876,22,66,False,misc,True,False,False
inv-0009,2339,1653,170,637,946,37,40,False,doc_id,False,True,False
inv-0009,2339,1653,168,717,121,21,9,False,info,False,True,False
inv-0009,2339,1653,342,718,1071,24,71,False,info,False,True,False
inv-0009,2339,1653,342,749,748,22,53,False,info,False,True,False
inv-0009,2339,1653,168,791,127,23,10,False,info,False,True,False
inv-0009,2339,1653,342,792,1094,24,72,False,info,False,True,False
inv-0009,2339,1653,343,822,474,23,31,False,info,False,True,False
inv-0009,2339,1653,168,865,1268,25,80,False,info,False,True,False
inv-0009,2339,1653,342,896,475,21,31,False,info,False,True,False
inv-0009,2339,1653,1166,1077,73,19,6,False,total,False,False,True
inv-0009,2339,1653,1332,1078,104,21,8,False,total,False,False,True
inv-0009,2339,1653,1096,1105,143,23,10,False,total,False,False,True
inv-0009,2339,1653,1345,1106,91,22,7,False,total,False,False,True
inv-0009,2339,1653,1058,1134,181,19,14,False,total,False,False,True
inv-0009,2339,1653,1332,1135,104,21,8,False,total,False,False,True
inv-0009,2339,1653,168,1159,515,24,35,False,verif,False,False,True
inv-0009,2339,1653,166,1189,723,24,46,False,verif,False,False,True
inv-0009,2339,1653,166,1250,934,61,101,False,misc,False,False,True
inv-0009,2339,1653,1179,1249,252,62,15,False,misc,False,False,True
inv-0009,2339,1653,165,1314,450,20,31,False,misc,False,False,True
inv-0009,2339,1653,1211,1316,19,23,1,False,misc,False,False,True
inv-0009,2339,1653,201,1367,1202,36,49,False,misc,False,False,True
inv-0009,2339,1653,463,1414,715,35,33,False,misc,False,False,True
inv-0009,2339,1653,1074,1485,5,9,1,False,misc,False,False,True
inv-0009,2339,1653,1178,1486,6,2,1,False,misc,False,False,True
inv-0009,2339,1653,1134,1537,4,5,1,False,misc,False,False,True
inv-0009,2339,1653,1305,1539,4,4,1,False,misc,False,False,True
inv-0009,2339,1653,1342,2245,235,43,16,False,misc,False,False,True
inv-0010,2338,1654,195,80,82,19,6,False,misc,True,False,False
inv-0010,2338,1654,1439,106,121,20,9,False,misc,True,False,False
inv-0010,2338,1654,130,202,174,24,1,False,misc,True,False,False
inv-0010,2338,1654,132,231,810,36,58,False,misc,True,False,False
inv-0010,2338,1654,130,484,1320,52,62,False,doc_id,False,False,False
inv-0010,2338,1654,127,547,867,44,44,False,doc_id,False,True,False
inv-0010,2338,1654,123,643,130,21,10,False,info,False,True,False
inv-0010,2338,1654,340,634,1213,53,118,False,info,False,True,False
inv-0010,2338,1654,122,708,1429,54,138,False,info,False,True,False
inv-0010,2338,1654,120,779,114,19,9,False,info,False,True,False
inv-0010,2338,1654,338,784,698,31,49,False,info,False,False,False
inv-0010,2338,1654,1497,786,96,12,11,False,info,False,True,False
inv-0010,2338,1654,983,936,20,23,1,False,misc,False,False,True
inv-0010,2338,1654,1336,930,69,18,7,False,total,False,False,True
inv-0010,2338,1654,1476,933,112,21,9,False,total,False,False,True
inv-0010,2338,1654,1209,958,196,24,14,False,total,False,False,True
inv-0010,2338,1654,1487,964,100,20,8,False,total,False,False,True
inv-0010,2338,1654,116,997,512,32,38,False,verif,False,False,True
inv-0010,2338,1654,1233,989,171,20,14,False,total,False,False,True
inv-0010,2338,1654,1475,994,112,21,9,False,total,False,False,True
inv-0010,2338,1654,114,1028,950,55,67,False,verif,False,False,True
inv-0010,2338,1654,110,1118,518,152,111,False,misc,False,False,True
inv-0010,2338,1654,805,1136,104,37,2,False,misc,False,False,True
inv-0010,2338,1654,1242,1159,188,20,13,False,misc,False,False,True
inv-0010,2338,1654,767,1389,5,6,1,False,misc,False,False,True
inv-0010,2338,1654,1040,1384,557,44,12,False,misc,False,False,True
inv-0010,2338,1654,1040,1465,544,46,13,False,misc,False,False,True
inv-0010,2338,1654,1038,1529,534,44,14,False,misc,False,False,True
inv-0010,2338,1654,377,1591,71,41,3,False,misc,False,False,True
inv-0010,2338,1654,545,1590,181,46,2,False,misc,False,False,True
inv-0010,2338,1654,1050,1581,493,64,5,False,misc,False,False,True
inv-0010,2338,1654,323,1702,150,29,11,False,misc,False,False,True
inv-0010,2338,1654,1044,1706,232,34,13,False,misc,False,False,True
inv-0010,2338,1654,1422,1714,48,22,1,False,misc,False,False,True
inv-0010,2338,1654,1043,1739,400,63,15,False,misc,False,False,True
inv-0010,2338,1654,506,1963,131,29,9,False,misc,False,False,True
